episode,training_reward,validation_reward,average_loss,epsilon,training_grid_import,validation_grid_import,training_unmet_demand,validation_unmet_demand,validation_battery_discharge,training_battery_throughput,validation_battery_throughput,training_degradation_cost,validation_degradation_cost,validation_final_soc
1,233.974297,44.41791,0.147347,0.738704,1049.982238,207.497473,47.500238,8.520107,211.79712,938.678391,419.53237,9.386784,4.195324,0.093813
2,419.691871,64.159038,0.213486,0.543968,916.457071,222.871683,36.451498,1.528784,202.973028,1243.808073,403.659997,12.438081,4.0366,0.271394
3,502.802625,61.336657,0.235185,0.400568,845.981895,226.778032,33.612929,1.326074,199.07446,1399.534683,396.618042,13.995347,3.96618,0.346912
4,590.417053,60.117203,0.25071,0.29497,795.400456,229.261458,25.966285,1.078434,196.721001,1519.557894,394.040736,15.195579,3.940407,0.559873
5,631.243436,41.989285,0.272344,0.217211,761.025004,248.098017,24.522765,1.014446,176.960401,1596.224292,355.170986,15.962243,3.55171,0.625018
6,639.125994,34.863384,0.281157,0.15995,757.468186,251.489683,23.637612,1.778998,172.585434,1606.227186,346.318175,16.062272,3.463182,0.614731
7,649.865597,37.970182,0.276139,0.117784,760.122933,248.315301,20.959203,1.778998,175.926888,1605.996529,353.076537,16.059965,3.530765,0.622276
8,679.184331,33.347295,0.278209,0.086734,731.157895,251.035727,20.764945,2.172047,172.649547,1667.756168,346.798383,16.677562,3.467984,0.649929
9,684.287778,28.518681,0.257111,0.063869,724.890096,261.856998,20.973044,1.014446,162.477262,1680.141785,326.333226,16.801418,3.263332,0.63787
10,673.205247,5.142812,0.265769,0.05,771.754992,281.829983,13.982416,1.779598,140.647644,1597.219314,284.045319,15.972193,2.840453,0.775003
11,685.522231,19.499837,0.262257,0.05,776.137947,265.172438,10.646838,2.172647,157.768166,1595.014308,317.572938,15.950143,3.175729,0.70366
12,667.280469,8.630078,0.28403,0.05,793.218441,274.166038,10.953788,2.587242,147.864804,1557.666278,297.891171,15.576663,2.978912,0.716156
13,662.504612,-3.281114,0.292954,0.05,768.867375,288.441052,16.698601,2.172047,133.27552,1597.951868,269.106664,15.979519,2.691067,0.755562
14,660.473185,21.282543,0.28755,0.05,763.849755,260.921982,18.095957,2.651231,161.738558,1604.178474,325.055974,16.041785,3.25056,0.657886
15,644.339953,-5.127451,0.300007,0.05,803.108743,291.766407,13.616686,1.888137,130.074,1531.238489,263.160214,15.312385,2.631602,0.801221
16,613.31081,2.62225,0.315188,0.05,828.709199,285.511241,14.815261,1.5622,137.001477,1474.819476,276.675083,14.748195,2.766751,0.767213
17,603.613866,14.973803,0.302718,0.05,806.901307,259.494554,21.050478,4.19946,161.611399,1507.694824,324.558328,15.076948,3.245583,0.633553
18,607.361123,18.760352,0.309699,0.05,780.319665,260.206097,25.525015,3.299,161.810258,1553.864859,324.978922,15.538649,3.249789,0.635841
19,621.405243,18.505871,0.304095,0.05,812.687161,254.748704,16.340303,4.422557,166.372192,1505.058997,334.388023,15.05059,3.34388,0.664364
20,659.583053,11.104197,0.290304,0.05,765.45404,259.10813,17.959306,5.052089,161.120658,1601.088719,323.847015,16.010887,3.23847,0.66057
21,622.874282,15.131776,0.285663,0.05,794.468749,257.372751,19.627309,4.584356,163.439722,1536.493536,328.493118,15.364935,3.284931,0.661367
22,600.395296,6.086488,0.295375,0.05,802.943465,264.512957,22.47584,4.996815,155.489549,1512.655122,312.771999,15.126551,3.12772,0.67929
23,604.509037,4.278382,0.29283,0.05,814.120102,276.922825,19.452274,2.920101,144.612545,1495.400284,290.952724,14.954003,2.909527,0.672764
24,585.458893,-20.033878,0.299963,0.05,814.790966,299.640125,23.143526,3.333683,120.264248,1487.702362,243.657813,14.877024,2.436578,0.812932
25,577.745918,1.740495,0.292914,0.05,825.435187,267.017003,22.602788,5.377441,152.453051,1464.946389,306.653442,14.649464,3.066534,0.674734
26,576.203979,2.457039,0.288771,0.05,836.650148,274.346947,20.706679,3.791536,146.406695,1445.698702,294.957479,14.456987,2.949575,0.714409
27,559.89487,13.699917,0.275157,0.05,839.484771,257.65038,23.425493,4.817093,162.902495,1433.740313,327.547678,14.337403,3.275477,0.674269
28,593.480628,8.676686,0.263411,0.05,813.956599,267.067256,21.698319,3.973568,153.877916,1491.568923,309.946041,14.915689,3.09946,0.719021
29,593.109357,-15.523167,0.251965,0.05,832.011748,288.274737,18.222524,4.663373,130.828141,1461.078319,264.280708,14.610783,2.642807,0.762443
30,600.496899,1.930357,0.249139,0.05,817.386132,268.530286,19.615572,5.041346,151.213907,1488.361936,304.386915,14.883619,3.043869,0.69591
