policy,reward,grid_import_kwh,unmet_demand_kwh,battery_charge_kwh,battery_discharge_kwh,battery_throughput_kwh,battery_degradation_cost,equivalent_battery_cycles,autonomy_rate_percent,demand_satisfaction_percent,final_soc,outage_hours,idle_actions,charge_actions,discharge_actions,seed,best_validation_reward
idle,-407.87916,497.230218,20.736669,0.0,0.0,0.0,0.0,0.0,30.0662,97.0835,0.5,55,1320,0,0,2026,52.916793
rule_based,-309.833059,497.230218,1.036833,0.0,20.736669,45.307816,0.453078,2.265391,30.0662,99.8542,0.883448,55,1190,80,50,2026,52.916793
dqn,-334.404369,451.331103,15.011751,0.0,54.341088,104.891533,1.048915,5.244577,36.5218,97.8886,0.120936,55,539,366,415,2026,52.916793
