episode,training_reward,validation_reward,average_loss,epsilon,training_grid_import,validation_grid_import,training_unmet_demand,validation_unmet_demand,validation_battery_discharge,training_battery_throughput,validation_battery_throughput,training_degradation_cost,validation_degradation_cost,validation_final_soc
1,203.421636,36.289534,0.142979,0.738704,1059.406483,230.162785,51.779867,5.6967,190.910904,911.705935,377.542307,9.117059,3.775423,0.07205
2,360.737038,52.916793,0.22901,0.543968,949.858879,217.784233,41.72348,4.791831,204.893451,1163.119333,405.105738,11.631193,4.051057,0.031884
3,479.339353,42.799684,0.260524,0.400568,865.955174,236.902794,34.398897,3.053296,186.598688,1355.549836,374.228028,13.555498,3.74228,0.603065
4,536.961839,39.89839,0.276006,0.29497,835.167546,247.707803,28.880362,1.510489,176.849002,1431.331791,355.260265,14.313318,3.552603,0.656226
5,567.187332,48.140512,0.269623,0.217211,790.555888,238.251449,31.581466,1.715682,186.587066,1519.396366,374.087126,15.193964,3.740871,0.591299
6,560.764339,40.249181,0.278604,0.15995,816.268226,247.357762,27.815103,1.510489,177.217465,1473.642909,355.185183,14.736429,3.551852,0.575025
7,583.339298,49.964395,0.295836,0.117784,784.01648,237.438369,29.622836,1.510489,187.658932,1537.455097,375.603107,15.374551,3.756031,0.528524
8,618.368385,39.883888,0.281331,0.086734,771.423815,251.05556,25.062586,0.855715,174.014282,1573.938145,349.321492,15.739381,3.493215,0.629293
9,657.6604,39.67326,0.250343,0.063869,753.909336,250.230464,20.615352,1.060908,174.666812,1619.801685,350.297719,16.198017,3.502977,0.596409
10,612.216409,-5.834722,0.251276,0.05,793.124322,288.133444,22.030924,2.746387,132.994749,1534.915783,268.058037,15.349158,2.68058,0.706854
11,588.966483,10.36609,0.285278,0.05,817.087704,269.875649,21.989701,3.083235,151.858905,1484.181695,305.332613,14.841817,3.053326,0.66148
12,606.652436,20.017328,0.292856,0.05,811.6928,270.298789,19.498286,1.060908,153.54226,1500.784472,309.058411,15.007845,3.090584,0.697389
13,619.033371,8.462088,0.290501,0.05,814.034508,271.51896,16.551772,3.141571,150.067697,1501.77728,302.233588,15.017773,3.022336,0.709819
14,623.023589,2.780561,0.272841,0.05,819.753195,275.999546,14.624651,3.401161,145.078038,1494.447152,292.532716,14.944472,2.925327,0.737664
15,595.78669,16.351821,0.304209,0.05,814.760712,272.844598,21.075927,1.295857,150.615145,1491.747657,303.553592,14.917477,3.035536,0.73233
16,587.698071,-4.903155,0.317087,0.05,818.627197,280.920052,21.941764,3.97635,139.293096,1481.042278,281.259135,14.810423,2.812591,0.767294
17,622.727464,-7.929438,0.302154,0.05,812.608535,280.073952,16.0902,4.752161,139.367085,1505.751057,280.592404,15.057511,2.805924,0.685823
18,610.123286,-32.371667,0.298367,0.05,817.035034,301.715438,17.749876,5.406934,115.897338,1493.680943,233.279771,14.936809,2.332798,0.648509
19,589.562682,-1.068069,0.298458,0.05,826.144874,273.06387,20.090736,4.752161,146.746118,1468.327414,295.463615,14.683274,2.954636,0.697138
20,582.239279,2.431425,0.309427,0.05,847.055589,265.442895,17.449189,5.547482,153.931018,1430.369916,309.951191,14.303699,3.099512,0.708916
21,607.130667,2.840745,0.303963,0.05,822.130499,270.981392,17.350748,4.376279,149.333865,1482.960555,300.770649,14.829606,3.007706,0.710292
22,616.666049,13.169398,0.288969,0.05,809.242609,269.762368,17.969409,2.541195,152.548716,1508.880989,307.349852,15.08881,3.073499,0.725242
23,641.415644,-9.070833,0.298143,0.05,806.340522,284.589285,13.569724,4.092621,135.308354,1523.972716,272.968115,15.239727,2.729681,0.735141
24,644.825485,10.467497,0.30256,0.05,784.815073,266.605488,17.116402,3.705007,154.646683,1562.194407,311.321896,15.621944,3.113219,0.702853
25,660.309414,11.164564,0.287728,0.05,762.374748,270.150691,18.417933,2.867663,151.796304,1607.068369,305.766778,16.070684,3.057668,0.717417
26,657.373547,-0.338148,0.293264,0.05,776.520843,269.677089,16.227151,5.270603,149.765422,1581.436829,301.928375,15.814368,3.019284,0.739753
27,644.515513,-8.675408,0.303333,0.05,782.231036,272.793714,17.686637,6.333177,145.366266,1566.477916,292.704982,15.664779,2.92705,0.697245
28,589.703021,-1.029137,0.308827,0.05,806.574529,259.815035,23.909407,7.349669,157.958041,1501.992741,317.699827,15.019927,3.176998,0.678374
29,610.778821,-10.460872,0.327832,0.05,792.955531,269.457516,22.354155,7.347534,147.810309,1533.93853,297.692755,15.339385,2.976928,0.707214
30,594.743499,-10.086577,0.310767,0.05,797.357189,269.008623,24.708028,7.359956,148.269752,1520.368476,298.941412,15.203685,2.989414,0.740191
